the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,pfaf_id,gid_1,gid_0,name_0,name_1,bau30_ba_x_l,bau50_ba_x_l,bau80_ba_x_l,opt30_ba_x_l,opt50_ba_x_l,opt80_ba_x_l,pes30_ba_x_l,pes50_ba_x_l,pes80_ba_x_l,bau30_ww_x_l,bau50_ww_x_l,bau80_ww_x_l,opt30_ww_x_l,opt50_ww_x_l,opt80_ww_x_l,pes30_ww_x_l,pes50_ww_x_l,pes80_ww_x_l,bau30_ws_x_l,bau50_ws_x_l,bau80_ws_x_l,opt30_ws_x_l,opt50_ws_x_l,opt80_ws_x_l,pes30_ws_x_l,pes50_ws_x_l,pes80_ws_x_l,bau30_wd_x_l,bau50_wd_x_l,bau80_wd_x_l,opt30_wd_x_l,opt50_wd_x_l,opt80_wd_x_l,pes30_wd_x_l,pes50_wd_x_l,pes80_wd_x_l,bau30_iv_x_l,bau50_iv_x_l,bau80_iv_x_l,opt30_iv_x_l,opt50_iv_x_l,opt80_iv_x_l,pes30_iv_x_l,pes50_iv_x_l,pes80_iv_x_l,bau30_sv_x_l,bau50_sv_x_l,bau80_sv_x_l,opt30_sv_x_l,opt50_sv_x_l,opt80_sv_x_l,pes30_sv_x_l,pes50_sv_x_l,pes80_sv_x_l,bau30_ba_x_r,bau50_ba_x_r,bau80_ba_x_r,opt30_ba_x_r,opt50_ba_x_r,opt80_ba_x_r,pes30_ba_x_r,pes50_ba_x_r,pes80_ba_x_r,bau30_ww_x_r,bau50_ww_x_r,bau80_ww_x_r,opt30_ww_x_r,opt50_ww_x_r,opt80_ww_x_r,pes30_ww_x_r,pes50_ww_x_r,pes80_ww_x_r,bau30_ws_x_r,bau50_ws_x_r,bau80_ws_x_r,opt30_ws_x_r,opt50_ws_x_r,opt80_ws_x_r,pes30_ws_x_r,pes50_ws_x_r,pes80_ws_x_r,bau30_wd_x_r,bau50_wd_x_r,bau80_wd_x_r,opt30_wd_x_r,opt50_wd_x_r,opt80_wd_x_r,pes30_wd_x_r,pes50_wd_x_r,pes80_wd_x_r,bau30_iv_x_r,bau50_iv_x_r,bau80_iv_x_r,opt30_iv_x_r,opt50_iv_x_r,opt80_iv_x_r,pes30_iv_x_r,pes50_iv_x_r,pes80_iv_x_r,bau30_sv_x_r,bau50_sv_x_r,bau80_sv_x_r,opt30_sv_x_r,opt50_sv_x_r,opt80_sv_x_r,pes30_sv_x_r,pes50_sv_x_r,pes80_sv_x_r
0101000020E610000070253B3602EF54C01B649291B3224540,0,undefined,_,-,42.271105,-83.73451,St Lawrence,Huron,,725572,USA.23_1,USA,United States,Michigan,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Extremely high (>80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low (<0.33),Low (<0.33),Low - Medium (0.33-0.66),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),46.33169419,48.39682711,57.31590463,49.58964817,49.65299949,55.62427976,46.60062055,57.19467923,47.89327496,26.18682427,26.23614302,24.122245,27.12142398,30.79427896,35.35595399,27.29834301,31.53090271,37.0913492,0.62961122,0.60135928,0.482214843,0.610424324,0.671085452,0.707214197,0.636941684,0.621044158,0.865798929,0.136610696,0.126808414,0.097659274,0.135188838,0.154973537,0.17414123,0.143808418,0.154463111,0.242642992,0.350590106,0.390235568,0.439925906,0.339404,0.382503911,0.39577147,0.354536509,0.385882673,0.385401121,0.27892872,0.287544284,0.349148661,0.266657042,0.265249166,0.257640093,0.261423581,0.284442,0.297515111
0101000020E61000008811C2A38DC951C0FFEC478AC83C4540,1,undefined,_,-,42.47487,-71.14927,Atlantic Ocean Seaboard,Charles,,731190,USA.22_1,USA,United States,Massachusetts,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),111.5837382,115.3136166,122.1868362,109.5479425,108.3594584,102.713814,108.1784058,108.4607841,107.1808753,28.70300977,28.79372881,25.93693717,29.99230345,35.13070478,41.55090472,30.2407822,36.23759139,44.17881329,0.259629574,0.251550989,0.213600471,0.27532472,0.325812884,0.407569877,0.281154005,0.335999498,0.415957855,0.06542787,0.061897569,0.051017302,0.070960967,0.087763064,0.116755998,0.074184542,0.097921922,0.136879937,0.106550316,0.104196614,0.107855969,0.093793583,0.098745244,0.123840506,0.087653061,0.108137453,0.118770692,0.072034235,0.073847051,0.083695842,0.066996021,0.072412451,0.07519345,0.076401366,0.075203786,0.090106827
0101000020E6100000E4C8FB1FFD5353C0DC7D12C83A764540,2,undefined,_,-,42.92366887,-77.31232452,St Lawrence,Seneca,,725540,USA.33_1,USA,United States,New York,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),8565.107682,6824.906584,8944.55736,8541.402815,8287.924969,8292.214847,7418.280716,8877.278943,6557.339677,12.40476757,12.38660573,11.23177812,12.90570873,14.87493499,17.34650133,13.01678923,15.34209359,18.45458008,0.001790495,0.0023116,0.001573824,0.00184673,0.002104946,0.002663696,0.002102658,0.002209278,0.003536541,0.000504403,0.000634238,0.000415979,0.000533272,0.000630722,0.000839771,0.000618572,0.000706524,0.001257116,0.512004141,0.54716325,0.598205073,0.567733377,0.53354324,0.494876505,0.498336281,0.513186874,0.573093177,0.533017379,0.570765271,0.588404055,0.491462378,0.470954727,0.548555051,0.50124643,0.567083453,0.647701936
0101000020E610000093BC001C77A352C04961621CF1234440,3,undefined,_,-,40.28079562,-74.55414486,"United States, North Atlantic Coast",Raritan,,731504,USA.31_1,USA,United States,New Jersey,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,High (40-80%),Extremely high (>80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (5-25%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low (<0.33),Low (<0.33),Low - Medium (0.33-0.66),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),55.7083099,50.56381502,54.36784463,51.14708157,49.96432198,52.30832145,52.44186645,53.59151821,56.35560322,38.12678551,38.15337679,34.87842603,39.58222349,45.24584874,52.37409659,39.88845382,46.59623753,55.48033334,0.755636526,0.834957412,0.748188562,0.863353799,0.992434785,1.105092567,0.837991555,0.933064058,1.100878778,0.202596856,0.219167836,0.189777984,0.236719596,0.28200128,0.331691539,0.234248222,0.284001487,0.373874248,0.385642976,0.382501368,0.328934021,0.369971908,0.385767786,0.394989934,0.35895375,0.364122661,0.387481282,0.311595433,0.320028962,0.371585363,0.263317402,0.290681631,0.309726221,0.31985833,0.334663604,0.37020663
0101000020E6100000CAA5F10BAF7B5EC0D7CF8BA8C3BE4240,4,undefined,_,-,37.49034602,-121.932559,California,Coyote,,774300,USA.5_1,USA,United States,California,300-1000 cm,300-1000 cm,300-1000 cm,100-300 cm,100-300 cm,300-1000 cm,100-300 cm,300-1000 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),348.6046323,307.5334575,376.4969396,272.1419377,299.9371109,305.234274,262.4044372,315.6655101,295.2348322,27.35905668,27.09401263,24.27736477,28.60096031,33.26688854,39.59474741,29.05076355,35.01230937,42.91739058,0.155854303,0.19218834,0.127251586,0.213604784,0.257747677,0.242053271,0.205104031,0.262379319,0.374929549,0.043309071,0.049802138,0.032455967,0.05960681,0.070282831,0.06785409,0.059981667,0.081904959,0.126238235,0.680376393,0.581314377,0.595788807,0.564640521,0.659178985,0.691726751,0.601537944,0.682289373,0.578448777,0.766118173,0.788296546,0.793012419,0.769382781,0.790693984,0.766244368,0.767332325,0.812751867,0.858000213
0101000020E610000023BA675D63C951C0011B8CE809444540,5,undefined,_,-,42.53155238,-71.14668975,Atlantic Ocean Seaboard,Charles,,731190,USA.22_1,USA,United States,Massachusetts,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),111.5837382,115.3136166,122.1868362,109.5479425,108.3594584,102.713814,108.1784058,108.4607841,107.1808753,28.70300977,28.79372881,25.93693717,29.99230345,35.13070478,41.55090472,30.2407822,36.23759139,44.17881329,0.259629574,0.251550989,0.213600471,0.27532472,0.325812884,0.407569877,0.281154005,0.335999498,0.415957855,0.06542787,0.061897569,0.051017302,0.070960967,0.087763064,0.116755998,0.074184542,0.097921922,0.136879937,0.106550316,0.104196614,0.107855969,0.093793583,0.098745244,0.123840506,0.087653061,0.108137453,0.118770692,0.072034235,0.073847051,0.083695842,0.066996021,0.072412451,0.07519345,0.076401366,0.075203786,0.090106827
0101000020E61000000385306DEE9C5EC0C6607261ACCC4640,6,undefined,_,-,45.59901064,-122.4520524,Columbia and Northwestern United States,Lower Columbia / Sandy,,782300,USA.48_1,USA,United States,Washington,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (0.25-0.50),Low (<0.25),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low - Medium (0.25-0.50),Low (<0.33),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low (<0.33),Low (<0.33),Low - Medium (0.33-0.66),Low (<0.33),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),1112.191201,1110.884911,1172.747519,1140.186964,1213.304984,1140.537571,1228.51084,1151.029161,1052.495913,5.885469657,6.302475621,5.851182262,6.091295273,7.457157765,8.787873509,6.086976673,7.469419562,9.1000329,0.007315042,0.008469521,0.007968672,0.006893311,0.009055637,0.010528364,0.006691963,0.008591783,0.012050029,0.003188115,0.003950275,0.003941892,0.002849076,0.00412169,0.004431345,0.002765223,0.003604811,0.005068759,0.252095604,0.247505257,0.25052849,0.284685461,0.24136576,0.238721496,0.243280432,0.242966981,0.266703536,0.318671644,0.346017105,0.380439227,0.328649754,0.330683953,0.336959584,0.32100769,0.343312783,0.408157722
0101000020E61000001BF1643733795EC03588E66CC7B64240,7,undefined,_,-,37.42796098,-121.893751,California,Coyote,,774300,USA.5_1,USA,United States,California,300-1000 cm,300-1000 cm,300-1000 cm,100-300 cm,100-300 cm,300-1000 cm,100-300 cm,300-1000 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),348.6046323,307.5334575,376.4969396,272.1419377,299.9371109,305.234274,262.4044372,315.6655101,295.2348322,27.35905668,27.09401263,24.27736477,28.60096031,33.26688854,39.59474741,29.05076355,35.01230937,42.91739058,0.155854303,0.19218834,0.127251586,0.213604784,0.257747677,0.242053271,0.205104031,0.262379319,0.374929549,0.043309071,0.049802138,0.032455967,0.05960681,0.070282831,0.06785409,0.059981667,0.081904959,0.126238235,0.680376393,0.581314377,0.595788807,0.564640521,0.659178985,0.691726751,0.601537944,0.682289373,0.578448777,0.766118173,0.788296546,0.793012419,0.769382781,0.790693984,0.766244368,0.767332325,0.812751867,0.858000213
0101000020E610000063B9A5D590BB5EC01C08C90226C64640,8,undefined,_,-,45.548035,-122.930715,Columbia and Northwestern United States,Tualatin,,782200,USA.38_1,USA,United States,Oregon,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,300-1000 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,10-30 cm,3-10 cm,10-30 cm,10-30 cm,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (0.25-0.50),Low (<0.25),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low (<0.25),Low (<0.25),Low (<0.25),Low (<0.25),Low - Medium (0.25-0.50),Low (<0.33),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low (<0.33),Low (<0.33),Low - Medium (0.33-0.66),Low (<0.33),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),441.6730611,439.9988527,469.4960194,459.795524,479.3107785,448.996084,489.8528234,461.9183493,417.5306638,8.5060007,8.507901742,8.043175496,8.781855,9.870682164,11.2145206,8.800158815,10.19312802,12.09088415,0.025967713,0.026878638,0.025433529,0.025121748,0.028829767,0.032967443,0.024353629,0.029403157,0.039298719,0.011604614,0.011241418,0.011361266,0.010472767,0.012130095,0.012851704,0.010309132,0.012181955,0.016748922,0.252280345,0.248662793,0.251313817,0.284999881,0.241736122,0.23935029,0.243901306,0.244976145,0.267437264,0.320391554,0.346722322,0.38293828,0.330494777,0.332592215,0.338669656,0.32223809,0.345678733,0.409987314
0101000020E6100000FE614B8FA67C5EC016031C2978B44240,9,undefined,_,-,37.40991701,-121.947666,California,Coyote,,774300,USA.5_1,USA,United States,California,300-1000 cm,300-1000 cm,300-1000 cm,100-300 cm,100-300 cm,300-1000 cm,100-300 cm,300-1000 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),348.6046323,307.5334575,376.4969396,272.1419377,299.9371109,305.234274,262.4044372,315.6655101,295.2348322,27.35905668,27.09401263,24.27736477,28.60096031,33.26688854,39.59474741,29.05076355,35.01230937,42.91739058,0.155854303,0.19218834,0.127251586,0.213604784,0.257747677,0.242053271,0.205104031,0.262379319,0.374929549,0.043309071,0.049802138,0.032455967,0.05960681,0.070282831,0.06785409,0.059981667,0.081904959,0.126238235,0.680376393,0.581314377,0.595788807,0.564640521,0.659178985,0.691726751,0.601537944,0.682289373,0.578448777,0.766118173,0.788296546,0.793012419,0.769382781,0.790693984,0.766244368,0.767332325,0.812751867,0.858000213
0101000020E6100000390A1005337E5EC08364098480B04240,10,undefined,_,-,37.37892199,-121.971864,California,Coyote,,774300,USA.5_1,USA,United States,California,300-1000 cm,300-1000 cm,300-1000 cm,100-300 cm,100-300 cm,300-1000 cm,100-300 cm,300-1000 cm,100-300 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),348.6046323,307.5334575,376.4969396,272.1419377,299.9371109,305.234274,262.4044372,315.6655101,295.2348322,27.35905668,27.09401263,24.27736477,28.60096031,33.26688854,39.59474741,29.05076355,35.01230937,42.91739058,0.155854303,0.19218834,0.127251586,0.213604784,0.257747677,0.242053271,0.205104031,0.262379319,0.374929549,0.043309071,0.049802138,0.032455967,0.05960681,0.070282831,0.06785409,0.059981667,0.081904959,0.126238235,0.680376393,0.581314377,0.595788807,0.564640521,0.659178985,0.691726751,0.601537944,0.682289373,0.578448777,0.766118173,0.788296546,0.793012419,0.769382781,0.790693984,0.766244368,0.767332325,0.812751867,0.858000213
0101000020E6100000941C2C7365E457C0CAD623A2D2A43D40,11,undefined,_,-,29.64383901,-95.56869201,Gulf Coast,Buffalo / San Jacinto,Gulf Coastal Plains Aquifer System,751500,USA.44_1,USA,United States,Texas,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,>30 cm,>30 cm,10-30 cm,>30 cm,>30 cm,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),High (0.75-1.00),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),High (0.75-1.00),High (0.75-1.00),High (0.75-1.00),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),Low (<0.33),74.89754342,71.62395568,78.44404258,80.29548982,80.72178986,76.40962205,81.68453399,72.33353533,78.24403772,24.88151762,25.00872429,22.63065082,25.96184194,30.31411648,35.66692542,26.16768831,31.13012475,37.70810991,0.352801594,0.396119482,0.335307138,0.381716417,0.398907617,0.495332326,0.363125398,0.501003384,0.516186047,0.081971995,0.086910727,0.075172594,0.090980582,0.096855169,0.127548773,0.086952669,0.12997487,0.15318353,0.742541111,0.698436187,0.805444463,0.723112142,0.680869486,0.735346549,0.769157285,0.756428607,0.791303724,0.254972544,0.279510091,0.299218619,0.284579226,0.272311882,0.264911667,0.262635362,0.278434028,0.313728269
0101000020E6100000EE224C512EFE55C0AE440325C3DC4440,12,undefined,_,-,41.72470534,-87.971577,Mississippi - Missouri,Des Plaines,Cambro-Ordovician Aquifer System,742827,USA.14_1,USA,United States,Illinois,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,High (40-80%),High (40-80%),High (40-80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),High (40-80%),Extremely high (>80%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (25-50%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),72.80580828,64.46618679,79.16261043,71.21470838,63.59181623,62.23179776,65.98271043,70.41351805,60.13567999,34.75728143,34.92867175,31.65779792,36.21845671,42.18911459,49.60587384,36.48194092,43.35973114,52.38657201,0.6251382,0.689339411,0.574431841,0.682938284,0.829117736,0.959509634,0.687149098,0.764030711,1.06911326,0.135075634,0.146373874,0.119374268,0.150940952,0.192276023,0.238318436,0.155242072,0.193047922,0.306901408,0.540238562,0.50602595,0.613646994,0.590548816,0.5575605,0.535205996,0.556287454,0.563314431,0.585599313,0.484636869,0.48688384,0.553708409,0.459960394,0.476422955,0.487828267,0.447758885,0.501921044,0.567083088
